title,authors,abstract,disciplines
Using Digital Technology to Increase Integration of Meditation into Daily Life: The Case for Meditation-Based Ecological Momentary Interventions,"Xie, Qiang; Amo, Victoria; Nahum-Shani, Inbal; Goldberg, Simon","Objectives: Meditation-based interventions (MBIs) hold promise for enhancing health and well-being. However, substantial barriers impede engagement in traditional forms of these interventions. Innovations in mobile health offer an avenue for overcoming barriers associated with traditional MBIs. This paper examines the potential of a particular mobile health innovation - Ecological Momentary Interventions (EMIs) - as a strategy to enhance the accessibility, acceptability, and efficacy of MBIs. Methods: We discuss the historical context, conceptual foundations, motivation for adoption, and empirical evidence supporting the potential of EMIs. Additionally, we explore the conceptual intersections between EMIs and both traditional contemplative sources and contemporary secular MBIs. Furthermore, we describe empirical studies integrating EMIs into MBIs (i.e., meditation-based [MB]-EMIs). Results: Studies have demonstrated diverse approaches to integrating EMIs into MBIs. These studies exhibit variability in key dimensions, including the MBI with which the EMI is integrated and the characteristics of the EMI itself. MB-EMIs have therapeutic potential, but there are many important scientific questions about them that have not yet been answered. Discussion: Future studies should continue to examine the impact and safety of meditation-based EMIs, leverage innovations in passive data collection, explore user experiences, develop these interventions for and with marginalized populations, and emphasize informal meditation practice.",Psychiatry
Open MDMA: An Open Source Framework and Practical Guide for the Therapeutic use of MDMA,"Groeneveld, Mark; Harper, Thomas","60% of adults experienced childhood trauma; half develop a mental illness in their life. Symptoms like cognitive distortion, emotional rigidness/insecurity, and impaired compassion increase tribalism, political polarization, and apathy to animal suffering-hobbling our collective capacity to defeat global catastrophic risks. Access to effective care (a crucial support for stopping intergenerational harm) is inadequate for most who need it. MDMA is a promising treatment, but good training is lacking because MDMA is illegal. With legalization immanent, our rigorous and accessible guide to MDMA therapy will: 1) Resource therapeutic MDMA users and clinicians 2) Articulate likely mechanisms of effectiveness, to inform the development of future therapeutic techniques This can reduce mental illness by addressing the prevalent, high impact barriers to effective care-increasing collective capacity for collaboration, supporting individuals who end cycles of abuse, and protecting future generations.",Psychiatry
A Psychometric Evaluation of the Body Image Questionnaire Child and Adolescent Version,"Blacker, Lucy; Gupta, Monica; Quinn, Rachel; Monzani, Benedetta; , ; Veale, David; Mataix-Cols, David; Krebs, Georgina","Body dysmorphic disorder (BDD) typically develops during adolescence, but there has been little research evaluating assessment tools for BDD in youth. This study sought to provide a comprehensive psychometric evaluation of a brief self-report questionnaire of BDD symptoms, the Body Image Questionnaire Child and Adolescent version (BIQ-C), in both clinical and non-clinical adolescent samples. Properties of the BIQ-C were examined in 479 adolescents recruited through schools and 118 young people with BDD attending a specialist clinic. Sensitivity to change was additionally examined in a subgroup of the clinical sample who received treatment (n = 35). Exploratory factor analysis indicated a two-factor structure provided the best fit for the data in the non-clinical sample, and this was corroborated through confirmatory factor analysis in the clinical sample. The first factor encompassed preoccupation and repetitive behaviours, while the second included items assessing functional impairment. The BIQ-C showed good internal consistency across both samples, and convergent validity with other measures of BDD. Among those in the clinical sample who received treatment, BIQ-C scores decreased significantly, and BIQ-C change scores were highly correlated with change scores on the gold-standard clinician-rated measure of BDD symptom severity. These findings indicate that the BIQ-C is a suitable tool for assessing BDD symptoms in young people and measuring change during treatment.",Psychiatry
Acute stress induces habit formation as evidenced by a contingency degradation task,"Alfei Palloni, Joaquin M; Brigham, Ebryl; Yildirim, Murat; Maltby, John, Professor; Morris, Richard W; Urcelay, Gonzalo P","Instrumental behaviour is goal-directed when controlled by the value of the outcome and knowledge of the action-outcome contingency, otherwise it is deemed to be controlled by external stimuli (habit). It is accepted that stress modulates the control of instrumental actions in a manner that favours habitual over goal-directed control. Indeed, while existing research extensively links stress to habit formation, in humans this has primarily been based on manipulations of outcome value, which is tested in extinction. Yet, stress also produces resistance to extinction, so the role of stress on habit expression is unclear. Here, we used a contingency degradation task to examine the relationship between stress and action-outcome contingency sensitivity in humans. Stressed participants displayed similar contingency knowledge about the action-outcome associative structure but this explicit knowledge fails to translate into behavioural sensitivity to changes in contingency. These results are discussed in light of the implications these findings hold for advancing the comprehension of stress-driven behaviours - particularly within the context of psychiatric disorders.",Psychiatry
Pavlovian safety learning: an integrative theoretical review,"Laing, Patrick; Vervliet, Bram; Dunsmoor, Joseph E; Harrison, Ben","Safety learning involves associating stimuli with the absence of threats, enabling the inhibition of fear and anxiety. Despite growing interest in psychology, psychiatry, and neuroscience research, safety learning lacks a formal consensus definition, leading to inconsistent methodologies and varied results. Conceptualized as a form of inhibitory learning (conditioned inhibition), safety learning can be understood through formal learning theories, such as the Rescorla-Wagner and Pearce-Hall models. This review aims to establish a principled conceptualization of 'Pavlovian safety learning', identifying cognitive mechanisms that generate it safety, and boundary conditions that constrain it. Based on these observations, we define Pavlovian safety learning as an active associative process, where surprising threat- omission (safety prediction error) acts as a salient reinforcing event. Instead of producing neutral or non-aversive states, the safety learning process endows stimuli with positive association to 'safety'. The resulting stimulus-safety memories counteract the influence of fear memories, promoting fear regulation, positive affect, and relief. We critically analyze traditional criteria of conditioned inhibition for their relevance to safety and propose areas for future innovation. A principled concept of Pavlovian safety learning may reduce methodological inconsistencies, stimulate translational research, and facilitate a comprehensive understanding of an indispensable psychological construct.",Psychiatry
"Old strategies, new environments: Reinforcement Learning on social media","Turner, Georgia; Ferguson, Amanda M; Katiyar, Tanay; Palminteri, Stefano; Orben, Amy","The rise of social media has dramatically altered the social world - introducing new social behaviours which can satisfy our social needs. However, it is yet unknown whether human social learning strategies, which are well-adapted to the offline world we developed in, operate as effectively within this new social environment. Here, we describe how the computational framework of Reinforcement Learning can help us to precisely frame this problem, diagnose where behaviour-environment mismatches emerge, and develop novel solutions to realign our behaviour with the new social media environment. The Reinforcement Learning algorithm, which has proven successful in characterising empirical aspects of human social behaviour, consists of three stages: updating expectations, integrating subjective costs such as effort, and finally selecting an action. We suggest that specific social media affordances might interact with parameter-based computations at each of these stages, in some cases exploiting Reinforcement Learning biases by violating the environmental conditions under which these strategies are optimal. Characterising the impact of specific aspects of social media through this lens allows us to understand how digital environments shape behaviour and in turn impact outcomes such as mental health. Further, human Reinforcement Learning could inspire both user-based interventions (such as cognitive therapy) and environment-based interventions (such as platform design and policy regulation), to improve the mental health outcomes of social media use.",Psychiatry
Harm reduction in severe and long-standing Anorexia Nervosa - part of the journey but not the destination. A narrative review with lived experience,"Birch, Edwin; Ayton, Agnes, Dr; Downs, James","This study is a review of the current evidence for harm reduction in the treatment of severe and long-standing Anorexia Nervosa, with a critique of the ethical defensibility of this approach alongside the inadequacies of pre-existing terms such as ""severe and enduring Anorexia Nervosa"". The study concludes that at present harm reduction lacks a robust evidence base and should not be considered the end point of treatment. Further research is required to identify new efficacious treatments and inform the role harm reduction may have for this subset of patients.",Psychiatry
Practical Approaches to Lifestyle Interventions for Enhancing Brain Health in Older Adults,"Ownby, Raymond L; Caballero, Joshua","This review focuses on ways that clinicians can work with middle-aged and older adults to help them develop brain healthy lifestyles. We emphasize the importance of being proactive in working to reduce middle-aged and older adults' risks for cognitive decline and dementia. We discuss practical strategies that clinicians can employ in everyday practice, including shared decision-making, psychoeducation, and support for patients' efforts at behavior change. We begin the discussion by emphasizing the importance of brain health as people age, even when they are typically considered middle-aged. The review continues with a review of three key techniques which, when integrated into clinical practice, may be effective in supporting patients' efforts at developing brain healthy lifestyles. Shared decision-making is a strategy to work with patients to provide them with the best possible information about their brain health while at the same time taking into consideration their preferences and individual situations. Psychoeducation can be used effectively to help patients learn about activities that can reduce their risk for cognitive decline and dementia. In the section on psychoeducation, a conceptual framework for understanding brain health activity mechanisms is proposed to help organize information given to patients. The last key element of the suggested intervention is an active approach to behavior change strategies, overlapping with psychoeducation but going further with ongoing follow-up about goals, self-monitoring, and problem solving about barriers to change and behavior maintenance. A final section provides a preliminary path diagram that presents hypothesized mechanisms by which an intervention based on the model might be evaluated. It helps integrate the various elements of the model while highlighting potential moderators of intervention effect in implementation. In this integration of these three approaches, this review presents a practical framework for healthcare professionals, caregivers, and middle-aged and older adults to support brain healthy lifestyles.",Psychiatry
"Parental Monitoring, Parental Knowledge, and the Occurrence of Potentially Traumatic Events in Adolescence","Aks, Isabel R; Patel, Herry; Davis, Isabella; Schulze, Emily; Pelham, William E, III","Parental monitoring and knowledge of their teens' activities might enable parents to keep teens safe, reducing the risk of potentially traumatic events. This paper investigated that possibility using a large, nationwide sample of 11,880 teens followed longitudinally from ages 10-11 to 13-14 years old. At annual assessments, teens completed measures of parental monitoring/knowledge and of potentially traumatic events. Data were analyzed using multilevel models to separate between- and within-family associations. Because within-family associations cannot be explained by the many systematic differences between families with low vs. high monitoring, they comprise more rigorous evidence of a potential causal relationship. We tested both concurrent associations between monitoring/knowledge and PTEs and prospective associations over 12 months. At the between-family level, every tested association was significant (p&lt;.001): greater monitoring/knowledge predicted fewer PTEs. However, at the within-family level, few associations were significant. Greater knowledge (p=0.01) or combined monitoring and knowledge (p=0.005) predicted fewer PTEs concurrently, but greater monitoring alone did not (p=0.14). No prospective within-family associations were statistically significant. We replicated this pattern of findings in a different set of observations from the same sample, using different measures of each construct. We conclude that most of the apparent association between parental monitoring/knowledge and PTEs is explained by confounding factors, rather than a causal relationship. However, we found some evidence supporting a causal link in models of concurrent associations, suggesting any causal relationship between monitoring/knowledge and PTEs may unfold over shorter timescales.",Psychiatry
Assessing brain morphological correlates of premenstrual symptoms in young healthy females,"Marjanovic, Sara B; Bukhari, Madelene C H; Kjelkenes, Rikka; Voldsbekk, Irene; Barth, Claudia; Westlye, Lars T","Although 90% of females with a menstrual cycle will experience premenstrual symptoms in their reproductive years, it is estimated that 20% experience treatment-warranted emotional, behavioral, or somatic symptoms in the premenstrual phase of their menstrual cycle. It has been hypothesized that premenstrual symptoms might be partly attributed to the brain's sensitivity to menstrual cycle-related hormonal fluctuations, which may be modulated by individual differences in the structural characteristics of the brain. Studies with continuous operationalizations of symptom measures are needed to characterize the neural correlates of premenstrual symptoms in the general population. In a population-based sample of 265 non-pregnant females aged 23-43 years, we tested for associations between self-reported premenstrual symptom load and T1-weighted imaging-based brain measures of cortical thickness, volume, and surface area as well as subcortical volumes. After corrections for multiple comparison, linear models including age revealed significant positive associations between premenstrual symptom load and thickness of the left transverse temporal gyrus and the volume of the left posterior cingulate cortex. These findings partly overlap with previous brain morphological findings in individuals with PMS and could possibly represent a non-phase dependent correlate of premenstrual symptoms.",Psychiatry
