Discipline,Title,Authors,Summary
Psychiatry,Using Digital Technology to Increase Integration of Meditation into Daily Life: The Case for Meditation-Based Ecological Momentary Interventions,"Xie, Qiang; Amo, Victoria; Nahum-Shani, Inbal; Goldberg, Simon", meditation-based interventions hold promise for enhancing health and well-being. Innovations in mobile health offer an avenue for overcoming barriers associated with traditional MBIs. This paper examines the potential of a particular mobile health innovation - Ecological Momentary Interventions (EMIs)
Psychiatry,Open MDMA: An Open Source Framework and Practical Guide for the Therapeutic use of MDMA,"Groeneveld, Mark; Harper, Thomas","60% of adults experienced childhood trauma; half develop a mental illness in their life. Access to effective care (a crucial support for stopping intergenerational harm) is inadequate. MDMA is a promising treatment, but good training is lacking because MDMA is illegal."
Psychiatry,A Psychometric Evaluation of the Body Image Questionnaire Child and Adolescent Version,"Blacker, Lucy; Gupta, Monica; Quinn, Rachel; Monzani, Benedetta; , ; Veale, David; Mataix-Cols, David; Krebs, Georgina",Body dysmorphic disorder (BDD) typically develops during adolescence. There has been little research evaluating assessment tools for BDD in youth. This study sought to provide a comprehensive psychometric evaluation of a brief self-report questionnaire of BDD symptoms.
Psychiatry,Acute stress induces habit formation as evidenced by a contingency degradation task,"Alfei Palloni, Joaquin M; Brigham, Ebryl; Yildirim, Murat; Maltby, John, Professor; Morris, Richard W; Urcelay, Gonzalo P","Stress modulates the control of instrumental actions in a manner that favours habitual over goal-directed control. Yet, stress also produces resistance to extinction, so the role of stress on habit expression is unclear. We used a contingency degradation task to examine the relationship between stress and action-outcome contingency sensitivity in humans."
Psychiatry,Pavlovian safety learning: an integrative theoretical review,"Laing, Patrick; Vervliet, Bram; Dunsmoor, Joseph E; Harrison, Ben","Safety learning involves associating stimuli with the absence of threats, enabling the inhibition of fear and anxiety. Conceptualized as a form of inhibitory learning (conditioned inhibition), safety learning can be understood through formal learning theories."
Psychiatry,"Old strategies, new environments: Reinforcement Learning on social media","Turner, Georgia; Ferguson, Amanda M; Katiyar, Tanay; Palminteri, Stefano; Orben, Amy","The rise of social media has dramatically altered the social world. However, it is yet unknown whether human social learning strategies operate as effectively within this new social environment. Here, we describe how the computational framework of Reinforcement Learning can help us to precisely frame this problem."
Psychiatry,Harm reduction in severe and long-standing Anorexia Nervosa - part of the journey but not the destination. A narrative review with lived experience,"Birch, Edwin; Ayton, Agnes, Dr; Downs, James",This study is a review of the current evidence for harm reduction in the treatment of severe and long-standing Anorexia Nervosa. The study concludes that at present harm reduction lacks a robust evidence base and should not be considered the end point of treatment.
Psychiatry,Practical Approaches to Lifestyle Interventions for Enhancing Brain Health in Older Adults,"Ownby, Raymond L; Caballero, Joshua",This review focuses on ways that clinicians can work with middle-aged and older adults to help them develop brain healthy lifestyles. We emphasize the importance of being proactive in working to reduce risks for cognitive decline and dementia. We discuss practical strategies that Clinicians can employ in everyday practice.
Psychiatry,"Parental Monitoring, Parental Knowledge, and the Occurrence of Potentially Traumatic Events in Adolescence","Aks, Isabel R; Patel, Herry; Davis, Isabella; Schulze, Emily; Pelham, William E, III","A large, nationwide sample of 11,880 teens followed longitudinally from ages 10-11 to 13-14 years old. At annual assessments, teens completed measures of parental monitoring/knowledge and of potentially traumatic events. At the between-family level, every tested association was significant."
Psychiatry,Assessing brain morphological correlates of premenstrual symptoms in young healthy females,"Marjanovic, Sara B; Bukhari, Madelene C H; Kjelkenes, Rikka; Voldsbekk, Irene; Barth, Claudia; Westlye, Lars T","90% of females with a menstrual cycle will experience premenstrual symptoms in their reproductive years. 20% experience treatment-warranted emotional, behavioral, or somatic symptoms in the premanstrual phase of their menstrual cycle. The brain's sensitivity to menstrual cycle-related hormonal fluctuations may be modulated by individual differences."
Psychiatry,"""I don't like him but I don't know why"": Negative first  impression of a schizophrenia patient based on thin slices of social behavior","Lozano-Goupil, Juliette; Marin, Ludovic; Aigoin, Emilie; Capdevielle, Delphine; Raffard, stephane",Social presentation especially public perception of patients' social behavior has been poorly studied to date in this mental disorder. This study aims to investigate whether a schizophrenia patient leads to a lower first impression.
Psychiatry,Development and Initial Evaluation of the German Version of the Hierarchical Taxonomy of Psychopathology Self-Report (HiTOP-SR),"Zimmermann, Johannes; Wendt, Leon P; Edelhoff, Hannah; Wierzba, Eva; Fleck, Leonie; Cicero, David C; Reininghaus, Ulrich",The current classification systems for mental disorders have been criticized for their lack of structural validity. The Hierarchical Taxonomy of Psychopathology (HiTOP) consortium has emerged to propose an alternative model for conceptualizing psychopathology.
Psychiatry,Attenuated theta-band activity and cross-frequency coupling in schizophrenia during affective response inhibition,"Kraft, Jacob; Suzuki, Takakuni; Menkes, Margo W; Andrews, Carolyn; McInnis, Melvin; Deldin, Patricia; Tso, Ivy F"," Individuals with Schizophrenia display impaired cognitive control, including trouble inhibiting context-inappropriate responses. The underlying neural mechanisms remain understudied and unclear. The current study examined the role of theta-band (4-7 Hz) neural oscillatory activity and cross-frequency coupling with gamma (30-50 Hz) activity in an affective cognitive control paradigm."
